admin_dong_code,sigungu_name,admin_dong_name,major_category,major_category_label,major_category_weight,category,category_label,category_score_0_100,triggered_indicator_count,triggered_indicators,policy_review_status,category_confidence
21150650,사상구,감전동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,100.0,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21150550,사상구,덕포1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,99.512195,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21150560,사상구,덕포2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,99.02439,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21120562,강서구,신호동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,98.536585,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21150570,사상구,괘법동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,98.04878,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21150600,사상구,주례1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,97.560976,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21150620,사상구,주례3동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,97.073171,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21150610,사상구,주례2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,96.585366,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21050760,부산진구,개금3동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,96.097561,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21150630,사상구,학장동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,95.609756,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21050800,부산진구,당감1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,95.121951,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21120520,강서구,대저2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,94.634146,1,연평균 PM2.5 IDW 추정,candidate_after_validation,low
21050740,부산진구,개금1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,94.146341,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21030560,동구,수정1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,93.658537,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21120580,강서구,가덕도동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,93.170732,1,연평균 PM2.5 IDW 추정,candidate_after_validation,low
21150510,사상구,삼락동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,92.682927,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21050660,부산진구,부암3동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,92.195122,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21120530,강서구,강동동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,91.707317,1,연평균 PM2.5 IDW 추정,candidate_after_validation,low
21150540,사상구,모라3동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,91.219512,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21120561,강서구,녹산동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,90.731707,1,연평균 PM2.5 IDW 추정,candidate_after_validation,low
21120550,강서구,가락동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,90.243902,1,연평균 PM2.5 IDW 추정,candidate_after_validation,low
21050720,부산진구,가야2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,89.756098,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21050700,부산진구,당감4동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,89.268293,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21150640,사상구,엄궁동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,88.780488,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21050750,부산진구,개금2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,88.292683,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21030570,동구,수정2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,87.804878,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21150520,사상구,모라1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,87.317073,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21030530,동구,초량3동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,86.829268,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21030590,동구,수정4동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,86.341463,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21120600,강서구,명지2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,85.853659,1,연평균 PM2.5 IDW 추정,candidate_after_validation,low
21060570,동래구,온천3동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,85.365854,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21060600,동래구,사직3동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,84.878049,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21060650,동래구,명륜동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,84.390244,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21060560,동래구,온천2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,83.902439,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21060580,동래구,사직1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,83.414634,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21020570,서구,서대신4동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,82.926829,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21050810,부산진구,가야1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,82.439024,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
